,ft_cat_country_name,ft_cat_industry_name,ft_cat_sector_name,ft_fin_cash,ft_fin_employees,ft_fin_equity,ft_fin_inventories,ft_fin_market_cap,ft_fin_net_income,ft_fin_ppe,ft_fin_rd,ft_fin_revenue,ft_fin_roa,ft_fin_roe,ft_fin_stock_return,ft_fin_total_assets,ft_fin_total_liab,isin,scope_1,scope_2,scope_3,year
33,Argentina,Entertainment,Communication,45.5665461496091,4977.0,310.709890732728,21.9171124159667,38.2583321308677,-31.2228984849919,94.6254005161693,,518.751901174654,-0.0734903125545917,-16.8220203516138,-0.03645530279233,342.566977537949,303.737700510601,ARGCLA010015,1838.19,20156.26,,2019
34,Argentina,Regional Banks,Financials,285.411014010829,,537.808671702785,1.07051443323519,,52.7968293165557,107.160630847726,,628.299092012494,0.0140427264598193,9.81702826572001,0.01588414061901,3759.72781835665,3221.49143266191,ARGRSU300079,90.77,1762.32,1081.81,2020
35,Argentina,Agriculture Products,Consumer Staples,59.6453671103828,,120.030593591405,84.1095424271718,,63.4566573567393,122.895461221895,,2737.81120137497,0.0908752481424824,52.8670695179195,0.47395300943588,698.283181106105,578.2525875147,ARMOAG300023,179995.67,12335.64,,2020
36,Argentina,Utilities—Regulated Electric,Utilities,35.967974465047,,226.658422222081,12.0002812471678,,22.8364963170774,279.672382983689,,139.707103349612,0.0527454969920764,10.0752913098028,0.0019610914934194,432.956320811765,206.297898589684,ARP2341J1058,2621733.4,790.55,1327.32,2020
37,Argentina,Utilities—Regulated Electric,Utilities,45.2081501000116,,1766.1203923829,14.5382312916666,902.755604094013,182.467220211895,946.951583252571,,744.897502458662,0.0741507881101895,19.3981353814148,0.0071378641722014,2003.07725883935,1805.01083909681,ARP2354W1188,4833960.0,42456.0,,2019
38,Argentina,Utilities—Independent Power Producers,Utilities,225.0,,1917.0,153.408315293491,1580.23979906024,683.81591322273,3523.89840070903,,3203.27942725644,0.121745249824068,39.6807462076592,0.30499992370605,5685.8449601233,3275.0,ARP432631215,6791449.0,86138.0,,2019
39,Argentina,Regional Banks,Financials,,,,,7545.67369091044,532.437677680954,520.074241975553,,3763.51043827464,,28.6364506790171,,17386.9366162468,,ARP495251018,933.38,27626.0,2664.02,2017
40,Argentina,Regional Banks,Financials,7345.51788376537,,4502.24435504497,2.4599966383124,3142.18215712666,511.341071409062,289.033851662641,,3887.72750268903,-0.0060836798987071,29.9172324671298,-0.09616888196875,15009.1919649071,38027.9912383465,ARP495251018,1079.28,31094.33,1759.71,2018
41,Argentina,Regional Banks,Financials,3568.48439891251,,3385.46992661451,0.11505648152249,2326.56198087206,860.820871079449,235.293598697327,,4292.74852040744,0.0318240399532864,55.5897664261946,0.04324200852964,11092.2485149888,17318.7476871483,ARP495251018,1036.0,29813.0,7156.0,2019
42,Argentina,Agriculture Products,Consumer Staples,2.65641319771679,,175.07346333305,129.961183298636,127.053419350719,-48484.7479643585,155.570805673853,,544.697334938664,-0.0853508794138318,-0.276939446111966,0.01122362970286,396.735394759562,392.990372650122,ARP624571096,488432.0,15086.0,36225.0,2019
43,Argentina,Packaged Foods,Consumer Staples,22.2372880574707,,233.175875059853,113.349671262525,193.35723062306,-20.8464839838967,169.660293673597,,678.737670715343,-0.0385110022801875,-15.0324159004049,0.0418768050693,436.465780855492,557.657337336689,ARP689251337,34758.43,57575.23,,2019
44,Argentina,Telecom Services,Communication,774.163848914944,23728.0,9232.41571737698,53.6469797194004,1835.07104504701,-91.0594557896256,4266.38796591014,,4909.75351434946,-0.0076038912611787,-1.65648009284729,0.14767667291401,9656.28932900727,8119.52878781295,ARP9028N1016,19312.4,327191.14,2360.8,2019
