isin,year,scope_1,scope_2,scope_3
,2008,978000.0,1036000.0,
FR0010220475,2008,136000.0,263000.0,
FR0000077919,2008,21570.0,34800.0,79950.0
FR0000120222,2008,5425.0,,
FR0000120560,2008,2464.0,,
FR0000120578,2008,388244.0,545594.0,
FR0013505062,2008,24831.0,,
FR0000133308,2008,322110.0,946188.0,
DE000A0D9PT0,2008,10007.0,42711.0,
DE000SYM9999,2008,80870.0,66177.0,
DE0005773303,2008,40908.0,250833.0,
DE0008232125,2008,21395015.0,215260.0,
DE0008430026,2008,22835.0,105792.0,24849.0
DE0007037129,2008,189700000.0,3600000.0,127800000.0
DE0005200000,2008,28732.0,52046.0,
DE0006070006,2008,2159839.0,142913.0,
DE0006599905,2008,367000.0,216000.0,
DE0006202005,2008,7839000.0,,
DE000BASF111,2008,23463147.0,4050202.0,
DE000TUAG000,2008,15993000.0,455000.0,
DE000BAY0017,2008,3890000.0,3710000.0,
DE0005190003,2008,354617.0,944246.0,
DE0005937007,2008,154532.0,289832.0,
DE0005439004,2008,450000.0,1790000.0,
DE0007236101,2008,1480000.0,2070000.0,454000.0
DE0007664039,2008,1390000.0,5010000.0,
DE0006048432,2008,484000.0,424000.0,
DE0005140008,2008,28781.0,398068.0,109253.0
DE0007100000,2008,1032000.0,2750000.0,
DE0008404005,2008,55603.689,313002.166,216426.557
DE000A0S8488,2008,101902.0,33937.0,
DE0005557508,2008,382849.0,1729597.0,
GRS015003007,2008,579.6,17559.0,
HK0006000050,2008,9080000.0,,
HK0019000162,2008,14510000.0,390000.0,
HK0066009694,2008,2149.0,667229.0,6182.0
,2008,48500000.0,,
INE009A01021,2008,11960.0,158900.0,71330.0
IE0001827041,2008,13200000.0,1500000.0,600000.0
IT0003506190,2008,70901.0,114894.0,
IT0003242622,2008,57926.0,71250.0,
IT0001137345,2008,117300.0,,
IT0003153415,2008,1400879.0,30841.0,
IT0003132476,2008,66840000.0,,
IT0003497168,2008,161687.393,1039485.363,0.0
IT0003128367,2008,59800000.0,,
JP3899800001,2008,383000.0,,
JP3165700000,2008,6000.0,200000.0,
JP3942600002,2008,129321.0,,250.0
JP3592200004,2008,1434000.0,1971000.0,1480000.0
JP3224200000,2008,312567.0,,
JP3401400001,2008,4680000.0,1929000.0,
JP3493800001,2008,459000.0,584000.0,
JP3359600008,2008,1803101.0,,1090000.0
JP3419400001,2008,195936.0,233064.0,
,2008,321000.0,231000.0,
,2008,1310345.0,,
JP3174410005,2008,5353000.0,,
JP3205800000,2008,608500.0,,
JP3595200001,2008,6600000.0,,
JP3720800006,2008,104000.0,563000.0,14000.0
JP3385980002,2008,825000.0,,
,2008,15080000.0,,
,2008,82350.0,,
JP3500610005,2008,32893.0,,
,2008,236.1,8236.0,
JP3635400009,2008,85968.0,,6700.0
JP3420600003,2008,234720.0,,
JP3164720009,2008,706000.0,,
JP3955000009,2008,13067.0,,
JP3422950000,2008,190619.0,,
JP3429800000,2008,8109000.0,,
JP3502200003,2008,3597.448,55709.277,
,2008,1291000.0,,42391.0
JP3210200006,2008,322874.0,,
,2008,47700.0,,
JP3449020001,2008,16466711.0,263683.0,
JP3605400005,2008,40838650.0,,
JP3246400000,2008,1100000.0,29200000.0,
JP3735400008,2008,70000.0,3530000.0,
JP3357200009,2008,21106.0,,
,2008,13238804.0,,
JP3371200001,2008,1264151.0,2230520.0,
,2008,50220000.0,,
KR7030200000,2008,42678.74627,672190.2537,
KR7005930003,2008,3496000.0,4545000.0,
LU0156801721,2008,3469920.0,1807250.0,
NL0011821202,2008,33000.0,126000.0,52000.0
NL0000009165,2008,1069000.0,560712.0,
NL0000009538,2008,460000.0,740000.0,927000.0
NL0013267909,2008,900000.0,2400000.0,
NL0000360618,2008,1307372.0,3924.0,
NL0009739416,2008,889700.0,184300.0,55900.0
NL0000009082,2008,51300.0,488700.0,0.0
NL0010273215,2008,26960.0,40380.0,
NL0009432491,2008,210316.0,120072.0,
NL0000303709,2008,9517.0,74865.0,14470.0
NZTELE0001S4,2008,6956.0,43478.0,6304.0
GB00B03MLX29,2008,82000000.0,,
NZAIAE0002S6,2008,2365.0,6585.0,2412.0
NO0005668905,2008,26000.0,6000.0,
NO0010208051,2008,16400000.0,,
NO0005052605,2008,6100000.0,7100000.0,
NO0010063308,2008,88946.0,488544.0,27277.0
NO0010096985,2008,15421700.0,312000.0,
,2008,12864.0,151231.0,
,2008,105319900.0,,
ZAE000083648,2008,414132.0,2808766.0,
ZAE000006896,2008,62955000.0,9718000.0,
ES0143416115,2008,20224.53,45340.032,
ES0105200416,2008,1452014.0,493142.0,0.0
ES0148396007,2008,18484.0,324547.0,34204.0
ES0118594417,2008,1263.0,,
ES0130960018,2008,195217.0,83970.0,
ES0171996087,2008,15500.0,27931.0,
ES0173093024,2008,58966.0,1160283.0,1382.0
ES0182870214,2008,292532.253,,
ES0116870314,2008,8221126.0,,
ES0173516115,2008,27211000.0,1830000.0,
ES0113679I37,2008,60.5,9371.9,3002.95
ES0124244E34,2008,465.0,7136.0,
ES0113211835,2008,4343.0,250313.0,42277.0
ES0144580Y14,2008,37769059.0,3461650.0,
ES0171743901,2008,1755.0,11664.0,
ES0118900010,2008,7596.93,30951.0,
ES0152503035,2008,119.95,6345.83,
SE0000171100,2008,3228000.0,,
SE0000310336,2008,18485.0,48040.0,
SE0011090018,2008,419000.0,,
SE0000379190,2008,19200.0,,
SE0000112724,2008,6118000.0,,
SE0000667891,2008,226000.0,322000.0,
SE0000108227,2008,84419.0,476472.0,
SE0006993770,2008,15276.0,38524.0,
SE0012455673,2008,413000.0,408000.0,
SE0000862997,2008,3440000.0,,
SE0000106270,2008,5835.0,231282.0,0.0
SE0000695876,2008,7500.0,15500.0,
SE0000667925,2008,3887.0,71865.0,56818.0
SE0000114837,2008,146200.0,123400.0,
SE0007100581,2008,45000.0,150000.0,
SE0000949331,2008,57770.0,24950.0,12622.0
CH0562931086,2008,11700.0,33700.0,15600.0
CH0012142631,2008,708014.0,647520.0,
CH0003671440,2008,148000.0,2111000.0,
CH0038388911,2008,15290.0,83000.0,1380.0
CH0012032048,2008,438719.0,496265.0,108884.0
CH0008742519,2008,25736.0,,
CH0001752309,2008,353100.0,353000.0,8000.0
CH0012214059,2008,93800000.0,6600000.0,
CH0012005267,2008,573950.0,866400.0,175000.0
CH0038863350,2008,4130000.0,3100000.0,
CH0012138530,2008,16600.0,168800.0,101000.0
CH0030170408,2008,17876.0,64735.0,
CH0010645932,2008,106300.0,,
GB00B0744359,2008,13539.0,57006.0,713.0
GB00B1VNSX38,2008,22160000.0,,
GB00B02L3W35,2008,3131.0,5758.0,
GB00B1P6ZR11,2008,2703.0,1369.0,
GB00BJQZC279,2008,21481.0,71333.0,
GB00B2NGPM57,2008,736.0,1866.0,
GB0006825383,2008,9287.0,,
GB0008220112,2008,336000.0,474000.0,
GB00BN0SMB92,2008,207425.0,561.0,
GB0007908733,2008,25880000.0,16687.0,
GB0009895292,2008,290000.0,280000.0,730000.0
GB00BDR05C01,2008,4010000.0,262000.0,5130000.0
GB00B082RF11,2008,223868.0,34838.0,794.0
GB0004544929,2008,46740.0,68185.0,
GB00B033F229,2008,7535811.0,49218.0,22250094.0
GB0000961622,2008,200921.0,40823.0,
GB0007980591,2008,63500000.0,10700000.0,521000000.0
GB00B2B0DG97,2008,18337.0,122257.0,37819.0
GB00B10RZP78,2008,1450000.0,1520000.0,
GB0002875804,2008,360327.0,365515.0,106619.0
GB0007188757,2008,15600000.0,13000000.0,
GB0002374006,2008,177000.0,783000.0,1505100.0
GB00B1KJJ408,2008,53024.0,128272.0,
GB0006776081,2008,46219.0,137041.0,
GB00BH0P3Z91,2008,22231000.0,29469000.0,320000000.0
GB00B1YKG049,2008,8980.0,4700.0,520.0
GB00B6YTLS95,2008,877350.0,319203.0,20056.0
GB0000811801,2008,24165.0,,4867.0
GB0001367019,2008,3115.0,19665.0,
GB0006027295,2008,159655.0,268699.0,
GB0031274896,2008,141358.0,265000.0,62642.0
GB00BK7YQK64,2008,4734.0,67738.0,125.0
